name,GpuDX12ParrallelSort2262144
date,Thu Dec 10 16:03:03 2015
Optimised Code,false
Debug Mode,false
Cpu Vendor,GenuineIntel
Cpu Name,Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz
Cpu Loigcal,16
Cpu Cores,8
Cpu HYPTH,true
Cpu HWC,8
Run,time_writebuffer,Sort_0,Swap_65536,Sort_1,Swap_32768,Sort_2,Swap_16384,Sort_3,Swap_8192,Sort_4,Swap_4096,Sort_5,Swap_2048,Sort_6,Swap_1024,Sort_7,Swap_512,Sort_8,Swap_256,Sort_9,Swap_128,Sort_10,Swap_64,Sort_11,Swap_32,Sort_12,Swap_16,Sort_13,Swap_8,Sort_14,Swap_4,Sort_15,Swap_2,Sort_16,Swap_1,Copy Back,
Averages,396517,84680011,253587,83893380,211066,83542200,203894,78471749,178279,77746337,175462,77607248,172644,76841621,181097,83784004,171107,78289371,171363,77820620,170851,77466111,166753,78151051,171875,77304225,168546,76847513,177255,77688704,196209,77686910,196466,77404635,170338,2398828,
Average %,0.0293465,6.26722,0.0187681,6.209,0.0156211,6.18301,0.0150903,5.80774,0.0131945,5.75405,0.012986,5.74376,0.0127775,5.68709,0.0134031,6.2009,0.0126637,5.79424,0.0126827,5.75955,0.0126448,5.73331,0.0123415,5.78401,0.0127206,5.72133,0.0124742,5.68753,0.0131187,5.74979,0.0145215,5.74965,0.0145406,5.72876,0.0126068,0.177539,
0,396517,84680011,253587,83893380,211066,83542200,203894,78471749,178279,77746337,175462,77607248,172644,76841621,181097,83784004,171107,78289371,171363,77820620,170851,77466111,166753,78151051,171875,77304225,168546,76847513,177255,77688704,196209,77686910,196466,77404635,170338,2398828,
